VariableGroup,Subgroup,Variable,Area,Year,Value,Unit,Symbol,IsAggregate
Water use,Water withdrawal by sector,Agricultural water withdrawal,Central Asia,2004,112.072666667,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Central Asia,2005,112.350197121,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Central Asia,2006,107.711616465,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Central Asia,2007,108.125080253,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Central Asia,2008,105.048544041,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Central Asia,2009,105.37200783,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Central Asia,2010,105.715471618,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Central Asia,2011,104.058935406,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Central Asia,2012,102.841799194,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Central Asia,2013,103.434662982,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Central Asia,2014,102.47752677,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Central Asia,2015,105.441501669,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Central Asia,2016,105.418365458,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Central Asia,2017,108.976754525,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Central Asia,2018,106.872741897,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Central Asia,2019,96.4208,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Central Asia,2020,93.1976,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Central Asia,2021,85.0036,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Central Asia,2022,85.8616,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Central and Southern Asia,2000,956.190428571,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Central and Southern Asia,2001,971.590342505,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Central and Southern Asia,2002,986.986685011,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Central and Southern Asia,2003,1001.743027516,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Central and Southern Asia,2004,1016.630666667,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Central and Southern Asia,2005,1030.942697121,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Central and Southern Asia,2006,1040.476616465,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Central and Southern Asia,2007,1055.062580253,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Central and Southern Asia,2008,1097.976544041,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Central and Southern Asia,2009,1111.260015883,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Central and Southern Asia,2010,1124.563487725,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Central and Southern Asia,2011,1122.906959567,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Central and Southern Asia,2012,1121.689831409,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Central and Southern Asia,2013,1122.282703251,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Central and Southern Asia,2014,1121.325575093,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Central and Southern Asia,2015,1124.289558046,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Central and Southern Asia,2016,1124.266429887,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Central and Southern Asia,2017,1127.824827009,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Central and Southern Asia,2018,1125.720822435,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Central and Southern Asia,2019,1115.268888591,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Central and Southern Asia,2020,1112.045778393,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Central and Southern Asia,2021,1103.851868194,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Central and Southern Asia,2022,1104.709868194,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Eastern Asia,2000,458.430384615,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Eastern Asia,2001,453.827653846,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Eastern Asia,2002,449.224923077,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Eastern Asia,2003,444.674692308,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Eastern Asia,2004,440.264461538,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Eastern Asia,2005,435.854230769,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Eastern Asia,2006,443.924,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Eastern Asia,2007,437.3,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Eastern Asia,2008,443.671,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Eastern Asia,2009,449.542,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Eastern Asia,2010,446.055783333,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Eastern Asia,2011,451.469566667,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Eastern Asia,2012,464.98335,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Eastern Asia,2013,469.097133333,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Eastern Asia,2014,463.710916667,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Eastern Asia,2015,461.9247,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Eastern Asia,2016,453.4209,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Eastern Asia,2017,453.1609,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Eastern Asia,2018,445.6309,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Eastern Asia,2019,444.3509,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Eastern Asia,2020,437.2609,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Eastern Asia,2021,437.0609,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Eastern Asia,2022,437.0609,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Eastern and South-Eastern Asia,2000,650.790147115,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Eastern and South-Eastern Asia,2001,654.790747989,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Eastern and South-Eastern Asia,2002,658.791348863,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Eastern and South-Eastern Asia,2003,662.844449736,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Eastern and South-Eastern Asia,2004,668.10855061,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Eastern and South-Eastern Asia,2005,675.494651483,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Eastern and South-Eastern Asia,2006,758.213752357,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Eastern and South-Eastern Asia,2007,811.986084,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Eastern and South-Eastern Asia,2008,825.383415643,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Eastern and South-Eastern Asia,2009,838.120747286,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Eastern and South-Eastern Asia,2010,842.450862262,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Eastern and South-Eastern Asia,2011,854.890977238,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Eastern and South-Eastern Asia,2012,875.421092214,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Eastern and South-Eastern Asia,2013,886.55120719,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Eastern and South-Eastern Asia,2014,888.031322167,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Eastern and South-Eastern Asia,2015,889.28558,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Eastern and South-Eastern Asia,2016,883.191784,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Eastern and South-Eastern Asia,2017,882.61318562,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Eastern and South-Eastern Asia,2018,875.08981534,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Eastern and South-Eastern Asia,2019,873.68096884,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Eastern and South-Eastern Asia,2020,866.63269005,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Eastern and South-Eastern Asia,2021,866.4167457,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Eastern and South-Eastern Asia,2022,866.49240697,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Europe,2000,95.14128463,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Europe,2001,92.646077282,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Europe,2002,88.982048768,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Europe,2003,89.61025361,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Europe,2004,86.421159453,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Europe,2005,85.092849629,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Europe,2006,82.379297986,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Europe,2007,80.23527546,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Europe,2008,79.855381006,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Europe,2009,81.902100593,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Europe,2010,81.123704639,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Europe,2011,81.774643783,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Europe,2012,84.811252388,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Europe,2013,79.607030696,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Europe,2014,85.844391264,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Europe,2015,84.004686376,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Europe,2016,83.774814421,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Europe,2017,85.107661578,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Europe,2018,85.32046801,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Europe,2019,85.474144608,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Europe,2020,84.503431884,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Europe,2021,83.201316031,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Europe,2022,82.389751802,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Europe and Northern America,2000,295.09728463,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Europe and Northern America,2001,291.520077282,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Europe and Northern America,2002,286.774048768,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Europe and Northern America,2003,286.32025361,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Europe and Northern America,2004,282.049159453,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Europe and Northern America,2005,279.638849628,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Europe and Northern America,2006,273.403297986,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Europe and Northern America,2007,267.73727546,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Europe and Northern America,2008,263.926574617,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Europe and Northern America,2009,262.542487814,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Europe and Northern America,2010,260.972704639,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Europe and Northern America,2011,261.421643783,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Europe and Northern America,2012,264.256252388,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Europe and Northern America,2013,258.850030696,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Europe and Northern America,2014,264.885391264,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Europe and Northern America,2015,262.843686376,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Europe and Northern America,2016,263.223814421,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Europe and Northern America,2017,265.166661578,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Europe and Northern America,2018,265.37946801,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Europe and Northern America,2019,265.533144608,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Europe and Northern America,2020,264.562431884,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Europe and Northern America,2021,263.260316031,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Europe and Northern America,2022,262.448751802,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Land Locked Developing Countries,2000,167.47703248,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Land Locked Developing Countries,2001,167.587069289,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Land Locked Developing Countries,2002,173.433456891,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Land Locked Developing Countries,2003,174.765022828,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Land Locked Developing Countries,2004,176.583485409,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Land Locked Developing Countries,2005,181.167139294,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Land Locked Developing Countries,2006,177.950554796,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Land Locked Developing Countries,2007,179.298845511,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Land Locked Developing Countries,2008,176.983740014,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Land Locked Developing Countries,2009,177.860078962,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Land Locked Developing Countries,2010,178.644201243,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Land Locked Developing Countries,2011,178.48599019,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Land Locked Developing Countries,2012,180.48069732,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Land Locked Developing Countries,2013,180.821337783,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Land Locked Developing Countries,2014,180.086278246,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Land Locked Developing Countries,2015,184.461913153,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Land Locked Developing Countries,2016,184.591628615,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Land Locked Developing Countries,2017,187.587003631,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Land Locked Developing Countries,2018,186.480239601,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Land Locked Developing Countries,2019,177.391277373,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Land Locked Developing Countries,2020,174.323225995,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Land Locked Developing Countries,2021,167.147255933,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Land Locked Developing Countries,2022,168.110917252,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Latin America and the Caribbean,2000,147.429261864,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Latin America and the Caribbean,2001,146.463330269,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Latin America and the Caribbean,2002,152.73606534,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Latin America and the Caribbean,2003,157.484580412,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Latin America and the Caribbean,2004,160.855095483,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Latin America and the Caribbean,2005,164.825610555,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Latin America and the Caribbean,2006,197.708952397,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Latin America and the Caribbean,2007,204.759286664,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Latin America and the Caribbean,2008,222.705080613,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Latin America and the Caribbean,2009,233.056175673,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Latin America and the Caribbean,2010,242.787021924,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Latin America and the Caribbean,2011,244.036343841,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Latin America and the Caribbean,2012,248.224320152,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Latin America and the Caribbean,2013,247.866408368,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Latin America and the Caribbean,2014,251.717529048,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Latin America and the Caribbean,2015,254.327801324,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Latin America and the Caribbean,2016,263.027823601,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Latin America and the Caribbean,2017,265.665527878,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Latin America and the Caribbean,2018,267.909858587,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Latin America and the Caribbean,2019,272.983424273,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Latin America and the Caribbean,2020,272.901414734,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Latin America and the Caribbean,2021,261.245436429,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Latin America and the Caribbean,2022,264.476701474,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Least Developed Countries,2000,123.236235382,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Least Developed Countries,2001,124.358123471,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Least Developed Countries,2002,130.497440696,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Least Developed Countries,2003,131.240513954,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Least Developed Countries,2004,133.054253878,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Least Developed Countries,2005,136.994243803,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Least Developed Countries,2006,139.930166455,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Least Developed Countries,2007,140.796089107,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Least Developed Countries,2008,173.162011759,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Least Developed Countries,2009,174.004767744,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Least Developed Countries,2010,174.844666587,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Least Developed Countries,2011,175.684565429,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Least Developed Countries,2012,176.524464272,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Least Developed Countries,2013,177.364363114,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Least Developed Countries,2014,178.204261957,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Least Developed Countries,2015,178.996994132,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Least Developed Countries,2016,179.129754879,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Least Developed Countries,2017,178.661049899,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Least Developed Countries,2018,180.090710253,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Least Developed Countries,2019,180.2762892,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Least Developed Countries,2020,180.2767892,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Least Developed Countries,2021,180.2772892,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Least Developed Countries,2022,180.2772892,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Northern Africa,2000,105.338090909,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Northern Africa,2001,106.493188725,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Northern Africa,2002,107.569112677,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Northern Africa,2003,108.388286628,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Northern Africa,2004,109.20746058,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Northern Africa,2005,110.026634532,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Northern Africa,2006,110.872426515,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Northern Africa,2007,111.718218497,10^9 m3/year,E,true
