VariableGroup,Subgroup,Variable,Area,Year,Value,Unit,Symbol,IsAggregate
Water use,Water withdrawal by sector,Agricultural water withdrawal as % of total water withdrawal,Central and Southern Asia,2020,89.9218988,%,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal as % of total water withdrawal,Central and Southern Asia,2021,90.471743908,%,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal as % of total water withdrawal,Central and Southern Asia,2022,90.449474223,%,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal as % of total water withdrawal,Eastern Asia,2020,62.717411354,%,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal as % of total water withdrawal,Eastern Asia,2021,62.706713217,%,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal as % of total water withdrawal,Eastern Asia,2022,62.706713217,%,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal as % of total water withdrawal,Eastern and South-Eastern Asia,2020,72.401730422,%,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal as % of total water withdrawal,Eastern and South-Eastern Asia,2021,72.312794589,%,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal as % of total water withdrawal,Eastern and South-Eastern Asia,2022,72.205394593,%,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal as % of total water withdrawal,Europe,2020,29.71146943,%,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal as % of total water withdrawal,Europe,2021,29.393138469,%,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal as % of total water withdrawal,Europe,2022,29.250678705,%,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal as % of total water withdrawal,Europe and Northern America,2020,34.59770595,%,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal as % of total water withdrawal,Europe and Northern America,2021,34.481140823,%,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal as % of total water withdrawal,Europe and Northern America,2022,34.439750902,%,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal as % of total water withdrawal,Land Locked Developing Countries,2020,83.245880266,%,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal as % of total water withdrawal,Land Locked Developing Countries,2021,86.212929068,%,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal as % of total water withdrawal,Land Locked Developing Countries,2022,85.05448906,%,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal as % of total water withdrawal,Latin America and the Caribbean,2020,74.963232725,%,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal as % of total water withdrawal,Latin America and the Caribbean,2021,74.204040889,%,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal as % of total water withdrawal,Latin America and the Caribbean,2022,73.987249093,%,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal as % of total water withdrawal,Least Developed Countries,2020,90.616712304,%,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal as % of total water withdrawal,Least Developed Countries,2021,90.612636691,%,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal as % of total water withdrawal,Least Developed Countries,2022,90.616735887,%,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal as % of total water withdrawal,Northern Africa,2020,82.173789212,%,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal as % of total water withdrawal,Northern Africa,2021,82.36054569,%,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal as % of total water withdrawal,Northern Africa,2022,82.344999128,%,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal as % of total water withdrawal,Northern Africa and Western Asia,2020,80.630284988,%,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal as % of total water withdrawal,Northern Africa and Western Asia,2021,83.069019806,%,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal as % of total water withdrawal,Northern Africa and Western Asia,2022,81.05511858,%,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal as % of total water withdrawal,Northern America,2020,37.49131996,%,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal as % of total water withdrawal,Northern America,2021,37.478951016,%,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal as % of total water withdrawal,Northern America,2022,37.482305822,%,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal as % of total water withdrawal,Oceania,2020,61.664378498,%,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal as % of total water withdrawal,Oceania,2021,64.635627994,%,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal as % of total water withdrawal,Oceania,2022,65.242718447,%,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal as % of total water withdrawal,Oceania (excluding Australia and New Zealand),2020,10.691823899,%,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal as % of total water withdrawal,Oceania (excluding Australia and New Zealand),2021,10.691823899,%,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal as % of total water withdrawal,Oceania (excluding Australia and New Zealand),2022,10.691823899,%,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal as % of total water withdrawal,Small Island Developing States,2020,62.256155734,%,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal as % of total water withdrawal,Small Island Developing States,2021,62.631008122,%,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal as % of total water withdrawal,Small Island Developing States,2022,62.828858891,%,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal as % of total water withdrawal,South-eastern Asia,2020,85.911184839,%,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal as % of total water withdrawal,South-eastern Asia,2021,85.672549466,%,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal as % of total water withdrawal,South-eastern Asia,2022,85.366229188,%,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal as % of total water withdrawal,Southern Asia,2020,91.230884295,%,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal as % of total water withdrawal,Southern Asia,2021,91.230892336,%,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal as % of total water withdrawal,Southern Asia,2022,91.230892336,%,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal as % of total water withdrawal,Sub-Saharan Africa,2020,75.34697147,%,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal as % of total water withdrawal,Sub-Saharan Africa,2021,75.092452914,%,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal as % of total water withdrawal,Sub-Saharan Africa,2022,74.550423729,%,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal as % of total water withdrawal,Western Asia,2020,79.504263602,%,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal as % of total water withdrawal,Western Asia,2021,83.612750987,%,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal as % of total water withdrawal,Western Asia,2022,80.118622699,%,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal as % of total water withdrawal,World,2020,71.513016405,%,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal as % of total water withdrawal,World,2021,71.658772992,%,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal as % of total water withdrawal,World,2022,71.472993083,%,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal per capita,Australia and New Zealand,2020,377.283356057,m3/inhab/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal per capita,Australia and New Zealand,2021,452.135573722,m3/inhab/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal per capita,Australia and New Zealand,2022,459.429095287,m3/inhab/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal per capita,Central Asia,2020,1219.35552758,m3/inhab/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal per capita,Central Asia,2021,1091.654948033,m3/inhab/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal per capita,Central Asia,2022,1082.174033255,m3/inhab/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal per capita,Central and Southern Asia,2020,539.843183551,m3/inhab/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal per capita,Central and Southern Asia,2021,530.409817676,m3/inhab/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal per capita,Central and Southern Asia,2022,525.599538713,m3/inhab/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal per capita,Eastern Asia,2020,261.253067965,m3/inhab/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal per capita,Eastern Asia,2021,261.173009709,m3/inhab/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal per capita,Eastern Asia,2022,261.488394717,m3/inhab/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal per capita,Eastern and South-Eastern Asia,2020,368.98480745,m3/inhab/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal per capita,Eastern and South-Eastern Asia,2021,368.152177301,m3/inhab/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal per capita,Eastern and South-Eastern Asia,2022,367.729090858,m3/inhab/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal per capita,Europe,2020,113.03198288,m3/inhab/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal per capita,Europe,2021,111.424566654,m3/inhab/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal per capita,Europe,2022,110.578480537,m3/inhab/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal per capita,Europe and Northern America,2020,235.095401887,m3/inhab/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal per capita,Europe and Northern America,2021,233.916168895,m3/inhab/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal per capita,Europe and Northern America,2022,233.171461019,m3/inhab/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal per capita,Land Locked Developing Countries,2020,322.14031876,m3/inhab/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal per capita,Land Locked Developing Countries,2021,301.768848422,m3/inhab/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal per capita,Land Locked Developing Countries,2022,296.948101061,m3/inhab/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal per capita,Latin America and the Caribbean,2020,421.995712023,m3/inhab/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal per capita,Latin America and the Caribbean,2021,401.652075471,m3/inhab/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal per capita,Latin America and the Caribbean,2022,404.196378353,m3/inhab/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal per capita,Least Developed Countries,2020,166.283619391,m3/inhab/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal per capita,Least Developed Countries,2021,162.455425712,m3/inhab/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal per capita,Least Developed Countries,2022,158.817131598,m3/inhab/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal per capita,Northern Africa,2020,434.522934548,m3/inhab/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal per capita,Northern Africa,2021,426.547889477,m3/inhab/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal per capita,Northern Africa,2022,420.697456599,m3/inhab/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal per capita,Northern Africa and Western Asia,2020,476.271362284,m3/inhab/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal per capita,Northern Africa and Western Asia,2021,467.177180658,m3/inhab/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal per capita,Northern Africa and Western Asia,2022,463.383443291,m3/inhab/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal per capita,Northern America,2020,476.681562056,m3/inhab/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal per capita,Northern America,2021,475.413384742,m3/inhab/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal per capita,Northern America,2022,473.239486964,m3/inhab/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal per capita,Oceania,2020,264.909243291,m3/inhab/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal per capita,Oceania,2021,316.366346035,m3/inhab/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal per capita,Oceania,2022,320.686126257,m3/inhab/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal per capita,Oceania (excluding Australia and New Zealand),2020,3.844606725,m3/inhab/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal per capita,Oceania (excluding Australia and New Zealand),2021,3.779416365,m3/inhab/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal per capita,Oceania (excluding Australia and New Zealand),2022,3.718100611,m3/inhab/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal per capita,Small Island Developing States,2020,245.292633005,m3/inhab/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal per capita,Small Island Developing States,2021,242.912793373,m3/inhab/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal per capita,Small Island Developing States,2022,240.579554186,m3/inhab/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal per capita,South-eastern Asia,2020,636.117194124,m3/inhab/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal per capita,South-eastern Asia,2021,631.436685911,m3/inhab/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal per capita,South-eastern Asia,2022,627.000294962,m3/inhab/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal per capita,Southern Asia,2020,513.659107864,m3/inhab/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal per capita,Southern Asia,2021,508.594253225,m3/inhab/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal per capita,Southern Asia,2022,503.765017981,m3/inhab/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal per capita,Sub-Saharan Africa,2020,69.884618265,m3/inhab/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal per capita,Sub-Saharan Africa,2021,68.161655457,m3/inhab/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal per capita,Sub-Saharan Africa,2022,66.32201827,m3/inhab/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal per capita,Western Asia,2020,513.469738719,m3/inhab/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal per capita,Western Asia,2021,503.427814846,m3/inhab/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal per capita,Western Asia,2022,501.341997087,m3/inhab/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal per capita,World,2020,363.029593033,m3/inhab/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal per capita,World,2021,357.451886995,m3/inhab/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal per capita,World,2022,355.220649586,m3/inhab/year,E,true
Water use,Water withdrawal by sector,Environmental Flow Requirements,Australia and New Zealand,2020,447.6,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Environmental Flow Requirements,Australia and New Zealand,2021,447.6,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Environmental Flow Requirements,Australia and New Zealand,2022,447.6,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Environmental Flow Requirements,Central Asia,2020,70.633,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Environmental Flow Requirements,Central Asia,2021,70.633,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Environmental Flow Requirements,Central Asia,2022,70.633,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Environmental Flow Requirements,Central and Southern Asia,2020,1931.393,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Environmental Flow Requirements,Central and Southern Asia,2021,1931.393,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Environmental Flow Requirements,Central and Southern Asia,2022,1931.393,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Environmental Flow Requirements,Eastern Asia,2020,1786.06,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Environmental Flow Requirements,Eastern Asia,2021,1786.06,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Environmental Flow Requirements,Eastern Asia,2022,1786.06,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Environmental Flow Requirements,Eastern and South-Eastern Asia,2020,5264.575,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Environmental Flow Requirements,Eastern and South-Eastern Asia,2021,5264.575,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Environmental Flow Requirements,Eastern and South-Eastern Asia,2022,5264.575,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Environmental Flow Requirements,Europe,2020,4651.757,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Environmental Flow Requirements,Europe,2021,4651.757,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Environmental Flow Requirements,Europe,2022,4651.757,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Environmental Flow Requirements,Europe and Northern America,2020,8073.757,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Environmental Flow Requirements,Europe and Northern America,2021,8073.757,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Environmental Flow Requirements,Europe and Northern America,2022,8073.757,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Environmental Flow Requirements,Land Locked Developing Countries,2020,1607.089,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Environmental Flow Requirements,Land Locked Developing Countries,2021,1607.089,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Environmental Flow Requirements,Land Locked Developing Countries,2022,1607.089,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Environmental Flow Requirements,Latin America and the Caribbean,2020,11207.03,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Environmental Flow Requirements,Latin America and the Caribbean,2021,11207.03,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Environmental Flow Requirements,Latin America and the Caribbean,2022,11207.03,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Environmental Flow Requirements,Least Developed Countries,2020,4276.739,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Environmental Flow Requirements,Least Developed Countries,2021,4276.739,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Environmental Flow Requirements,Least Developed Countries,2022,4276.739,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Environmental Flow Requirements,Northern Africa,2020,31.1037,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Environmental Flow Requirements,Northern Africa,2021,31.1037,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Environmental Flow Requirements,Northern Africa,2022,31.1037,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Environmental Flow Requirements,Northern Africa and Western Asia,2020,182.039,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Environmental Flow Requirements,Northern Africa and Western Asia,2021,182.039,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Environmental Flow Requirements,Northern Africa and Western Asia,2022,182.039,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Environmental Flow Requirements,Northern America,2020,3422,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Environmental Flow Requirements,Northern America,2021,3422,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Environmental Flow Requirements,Northern America,2022,3422,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Environmental Flow Requirements,Oceania,2020,952.1,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Environmental Flow Requirements,Oceania,2021,952.1,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Environmental Flow Requirements,Oceania,2022,952.1,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Environmental Flow Requirements,Oceania (excluding Australia and New Zealand),2020,504.5,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Environmental Flow Requirements,Oceania (excluding Australia and New Zealand),2021,504.5,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Environmental Flow Requirements,Oceania (excluding Australia and New Zealand),2022,504.5,10^9 m3/year,E,true
